Wake Forest, Demon Deacons, WAKE, ACC, A67F31, 000011, 65, NC, NC; 
Louisville, Cardinals, LOU, ACC, AD0000, 000013, 62, KY, KY.OH; 
NC State, Wolfpack, NCST, ACC, CC0000, 000020, 76, NC, NC; 
Cincinnati, Bearcats, CIN, ACC, E00122, 000025, 78, OH, OH.KY.IN; 
Georgia Tech, Yellow Jackets, GT, ACC, B3A369, 003057, 63, GA, GA; 
Clemson, Tigers, CLEM, ACC, F56600, 522D80, 85, SC, SC; 
Syracuse, Orange, SYR, ACC, D44500, 6F777D, 82, NY, NY; 
Boston College, Eagles, BC, ACC, 98002E, BC9B6A, 58, MA, MA.RI.ME; 
Notre Dame, Fighting Irish, ND, ACC, 0C2340, C99700, 76, IN, IN.MI.IL; 
Pittsburgh, Panthers, PITT, ACC, 1C2957, CDB87D, 67, PA, PA.OH.WV; 
Florida State, Seminoles, FSU, ACC, 782F40, CEB888, 79, FL, FL; 
Virginia Tech, Hokies, VT, ACC, 6A2C3E, CF4520, 68, VA, VA; 
Virginia, Cavaliers, UVA, ACC, 232D4B, F84C1E, 85, VA, VA; 
Miami, Hurricanes, MIA, ACC, 005030, FF671F, 75, FL, FL; 
Duke, Blue Devils, DUKE, ACC, 0736A4, FFFFFF, 95, NC, NC.SC; 
North Carolina, Tar Heels, UNC, ACC, 7BAFD4, FFFFFF, 95, NC, NC.SC; 
Northern Kentucky, Norse, NKU, American, FFC72C, 000000, 56, KY, KY; 
UCF, Knights, UCF, American, BA9B37, 000018, 65, FL, FL; 
VCU, Rams, VCU, American, FFB300, 000029, 72, VA, VA; 
Liberty, Flames, LIB, American, 990000, 0A254E, 46, VA, VA; 
Western Kentucky, Hilltoppers, WKU, American, C60C30, 1E1E1E, 63, KY, KY; 
Tulane, Green Wave, TULN, American, 006747, 418FDE, 48, LA, LA; 
Old Dominion, Monarchs, ODU, American, 003057, 7C878E, 58, VA, VA; 
Marshall, Thundering Herd, MRSH, American, 00B140, A2AAAD, 54, WV, WV.PA; 
Florida International, Golden Panthers, FIU, American, 081E3F, B6862C, 50, FL, FL; 
Charlotte, 49ers, CHAR, American, 046A38, B9975B, 52, NC, NC; 
Georgia State, Panthers, GAST, American, 0039A6, C60C30, 52, GA, GA; 
Florida Atlantic, Owls, FAU, American, 003366, CC0000, 78, FL, FL; 
UAB, Blazers, UAB, American, 006341, CC8A00, 60, AL, AL; 
South Florida, Bulls, USF, American, 006747, CFC493, 51, FL, FL; 
Southern Mississippi, Golden Eagles, USM, American, 000000, FFAB00, 50, MS, MS; 
George Mason, Patriots, GMU, American, 006633, FFCC33, 58, VA, VA.DC; 
Davidson, Wildcats, DAV, Atlantic 16, AC1A2F, 000000, 54, NC, NC; 
Northeastern, Huskies, NE, Atlantic 16, D41B2C, 000000, 35, MA, MA; 
UMBC, Retrievers, UMBC, Atlantic 16, FFC20E, 000000, 42, MD, MD.DC; 
George Washington, Colonials, GWU, Atlantic 16, E2CB92, 002654, 50, DC, DC.MD; 
La Salle, Explorers, LAS, Atlantic 16, FFCC00, 003366, 50, PA, PA; 
Saint Joseph's, Hawks, JOES, Atlantic 16, C02427, 0F0708, 52, PA, PA; 
Stony Brook, Seawolves, SBU, Atlantic 16, 990000, 16243E, 45, NY, NY; 
Richmond, Spiders, RICH, Atlantic 16, 000066, 990000, 43, VA, VA; 
